incident_type,creation_date,closed_date,latitude,longitude,borough
Law Enforcement-Suspicious Package,2022-07-15T21:07:51.000,2022-07-15T21:50:19.000,40.75232004781827,-73.98594990092607,Manhattan
Marine-Other,2022-07-12T16:13:25.000,2022-07-27T17:39:51.000,40.76374136800813,-73.99879439408795,Manhattan
Marine-Other,2022-07-12T16:13:25.000,,40.76374136800813,-73.99879439408795,Manhattan
Fire-2nd Alarm,2022-06-18T11:38:31.000,2022-06-18T18:12:18.000,40.766807957909435,-73.9941873839098,Manhattan
Fire-10-76 (Commercial High Rise Fire),2022-06-14T18:48:16.000,2022-06-14T20:05:40.000,40.75808872504072,-73.9802608517838,Manhattan
Law Enforcement-Suspicious Package,2022-06-14T10:54:43.000,2022-06-14T12:09:56.000,40.75188565568621,-73.99039809312224,Manhattan
Law Enforcement-Suspicious Package,2022-06-12T20:31:15.000,2022-06-12T22:13:00.000,40.756377475688396,-73.99064435343753,Mnahatttan
Law Enforcement-Device,2022-05-30T12:19:28.000,2022-05-30T13:26:11.000,40.750790057122146,-73.974419922556,Manhattan
Utility-Water Main,2022-05-28T06:23:39.000,,40.75184181833259,-73.98016865084887,Manhattan
Utility-Water Main,2022-05-28T06:23:39.000,2022-05-28T15:06:36.000,40.75184181833259,-73.98016865084887,Manhattan
Utility-Water Main,2022-05-25T17:41:25.000,2022-05-25T22:02:03.000,40.75584183016599,-73.98220847080565,Manhattan
Rescue-High Angle,2022-05-20T08:32:20.000,2022-05-20T09:42:09.000,40.76250250952435,-73.97519382367618,Manhattan
Structural-Falling Debris,2022-04-23T14:32:55.000,2022-04-23T19:42:51.000,40.75538767329567,-73.99864617822186,Manhattan
Law Enforcement-Device,2022-04-22T08:33:50.000,2022-04-22T09:08:12.000,40.75413003598999,-73.98827990237078,Manhattan
Fire-Manhole,2022-04-10T19:06:21.000,2022-04-13T13:22:15.000,40.75691551005323,-73.98667921032137,Manhattan
Fire-Manhole,2022-04-10T19:06:21.000,,40.75691551005323,-73.98667921032137,Manhattan
Fire-Manhole,2022-04-10T19:06:21.000,,40.75691551005323,-73.98667921032137,Manhattan
Fire-Manhole,2022-04-10T19:06:21.000,,40.75691551005323,-73.98667921032137,Manhattan
Rescue-Technical,2022-04-05T00:05:14.000,2022-04-05T00:27:20.000,40.750320041901574,-73.99109990987512,New York
Fire-10-76 (Commercial High Rise Fire),2022-03-25T10:42:38.000,2022-03-25T12:19:41.000,40.750622167601534,-73.99855569656872,Manhattan
Structural-Falling Debris,2022-02-25T17:25:07.000,,40.76477702277003,-73.9778437623651,Manhattan
Structural-Falling Debris,2022-02-25T17:25:07.000,,40.76477702277003,-73.9778437623651,Manhattan
Structural-Falling Debris,2022-02-25T17:25:07.000,,40.76477702277003,-73.9778437623651,Manhattan
Structural-Falling Debris,2022-02-25T17:25:07.000,2022-03-01T17:24:19.000,40.76477702277003,-73.9778437623651,Manhattan
Structural-Falling Debris,2022-02-25T17:25:07.000,,40.76477702277003,-73.9778437623651,Manhattan
Fire-1st Alarm,2022-02-24T07:19:37.000,,40.752190044500026,-73.9934599185332,Manhattan
Fire-1st Alarm,2022-02-24T07:19:37.000,2022-02-24T07:46:12.000,40.752190044500026,-73.9934599185332,Manhattan
Fire-Other,2022-02-19T22:20:02.000,2022-02-20T00:40:43.000,40.754784997904096,-73.98651676903782,Manhattan
Fire-10-77 (Residential High Rise Fire),2022-02-10T16:33:04.000,2022-02-10T18:07:07.000,40.749222389771234,-73.97636335062624,Manhattan
Fire-10-77 (Residential High Rise Fire),2022-02-07T14:14:04.000,2022-02-07T15:25:02.000,40.749748857109694,-73.99125933367353,Manhattan
Fire-2nd Alarm,2022-01-14T09:42:41.000,2022-01-14T13:49:19.000,40.76378091739667,-73.99223549011734,Manhattan
Law Enforcement-Suspicious Package,2022-01-11T18:45:45.000,2022-01-11T20:01:03.000,40.74915424489842,-73.99167658481359,Manhattan
Fire-10-76 (Commercial High Rise Fire),2022-01-05T10:58:50.000,2022-01-05T12:05:37.000,40.757104647698384,-73.98640185314528,Manhattan
Fire-10-77 (Residential High Rise Fire),2021-12-24T08:02:45.000,2021-12-24T09:25:53.000,40.764440782724165,-73.98060543182334,Manhattan
