grid_lat,grid_lon,hour,day_of_week,crash_count,avg_severity,total_injured,total_killed
10175,-18503,0,0,1,0.0,0.0,0.0
10175,-18503,0,1,2,0.5,1.0,0.0
10175,-18503,0,2,4,0.0,0.0,0.0
10175,-18503,0,3,5,0.0,0.0,0.0
10175,-18503,0,4,2,0.0,0.0,0.0
10175,-18503,0,5,1,0.0,0.0,0.0
10175,-18503,0,6,2,0.5,1.0,0.0
10175,-18503,1,2,2,0.0,0.0,0.0
10175,-18503,1,3,2,1.5,3.0,0.0
10175,-18503,1,4,1,0.0,0.0,0.0
10175,-18503,1,5,1,0.0,0.0,0.0
10175,-18503,1,6,1,0.0,0.0,0.0
10175,-18503,2,1,2,0.0,0.0,0.0
10175,-18503,2,5,1,0.0,0.0,0.0
10175,-18503,2,6,1,0.0,0.0,0.0
10175,-18503,3,1,1,0.0,0.0,0.0
10175,-18503,3,6,3,0.0,0.0,0.0
10175,-18503,4,1,1,1.0,1.0,0.0
10175,-18503,5,3,1,0.0,0.0,0.0
10175,-18503,6,0,1,0.0,0.0,0.0
10175,-18503,6,1,1,0.0,0.0,0.0
10175,-18503,6,2,2,0.5,1.0,0.0
10175,-18503,6,3,2,0.0,0.0,0.0
10175,-18503,6,4,2,0.0,0.0,0.0
10175,-18503,6,5,1,1.0,1.0,0.0
10175,-18503,6,6,1,0.0,0.0,0.0
10175,-18503,7,1,1,0.0,0.0,0.0
10175,-18503,7,2,2,0.0,0.0,0.0
10175,-18503,7,3,2,0.0,0.0,0.0
10175,-18503,7,4,1,1.0,1.0,0.0
10175,-18503,8,0,5,0.0,0.0,0.0
10175,-18503,8,1,3,0.0,0.0,0.0
10175,-18503,8,2,1,1.0,1.0,0.0
10175,-18503,8,3,2,0.5,1.0,0.0
10175,-18503,8,4,4,0.0,0.0,0.0
10175,-18503,8,6,3,0.0,0.0,0.0
10175,-18503,9,0,5,0.0,0.0,0.0
10175,-18503,9,1,1,0.0,0.0,0.0
10175,-18503,9,2,3,0.0,0.0,0.0
10175,-18503,9,3,4,0.0,0.0,0.0
10175,-18503,9,4,3,0.6666666666666666,2.0,0.0
10175,-18503,9,5,1,0.0,0.0,0.0
10175,-18503,9,6,1,0.0,0.0,0.0
10175,-18503,10,0,5,0.2,1.0,0.0
10175,-18503,10,2,8,0.25,2.0,0.0
10175,-18503,10,3,4,0.0,0.0,0.0
10175,-18503,10,4,6,0.0,0.0,0.0
10175,-18503,10,5,1,0.0,0.0,0.0
10175,-18503,10,6,1,1.0,1.0,0.0
10175,-18503,11,0,4,0.0,0.0,0.0
10175,-18503,11,1,6,0.0,0.0,0.0
10175,-18503,11,2,7,0.14285714285714285,1.0,0.0
10175,-18503,11,3,1,0.0,0.0,0.0
10175,-18503,11,4,3,0.3333333333333333,1.0,0.0
10175,-18503,11,5,3,0.0,0.0,0.0
10175,-18503,11,6,6,0.0,0.0,0.0
10175,-18503,12,0,4,0.0,0.0,0.0
10175,-18503,12,1,4,0.25,1.0,0.0
10175,-18503,12,2,4,0.0,0.0,0.0
10175,-18503,12,3,8,0.0,0.0,0.0
10175,-18503,12,4,8,0.25,2.0,0.0
10175,-18503,12,5,2,0.0,0.0,0.0
10175,-18503,12,6,3,0.0,0.0,0.0
10175,-18503,13,0,6,0.3333333333333333,2.0,0.0
10175,-18503,13,1,2,0.0,0.0,0.0
10175,-18503,13,2,1,0.0,0.0,0.0
10175,-18503,13,3,6,0.0,0.0,0.0
